objID specObjID
1237653664722386988 564125918604322816
1237648722828460042 564133065429903360
1237651752923758623 564134714697345024
1237651752923758661 564134989575251968
1237653664722190405 564137188598507520
1237653664185385142 564138837865949184
1237651752923562025 564142686156646400
1237651753460367757 562981872712312832
1237651752923627630 562956858822780928
1237651753460432937 562971152473942016
1237651735743955886 564149832982226944
1237651736280760378 564152032005482496
1237648722828591174 302988877897951232
1237651753460629734 562959057846036480
1237648722828263440 562962906136733696
1237654604247531890 644048869977516032
1237654600489566399 644049969489143808
1237654600489304089 642891908816857088
1237654604247269412 644084604105418752
1237654604247662861 644026604867053568
1237654599952892058 564179794674083840
1237654604247793831 645219575587170304
1237653665795735691 564165775900829696
1237651754534109358 564170998581061632
1237651754534109228 564173472482224128
1237654599952957613 564176771017107456
1237651754534109403 563117937276250112
1237654599952826510 563118212154157056
1237654599952826426 563120136299505664
1237651754534306011 563120960933226496
1237653665259127330 563121510689040384
1237653665259061426 563122610200668160
1237651752923365614 562988744659986432
1237651753460236357 562993417584404480
1237653664184926278 562994791973939200
1237653664185581626 564123169825253376
1237653664722452496 564123444703160320
1237653664184991845 564158629075249152
1237651753460170764 564159453708969984
1237651753460170802 564161102976411648
1237651753459974319 541568332562720768
1237651754534109260 564183917842688000
1237653665258930230 564184467598501888
1237651754534109386 564185017354315776
1237654599953088594 564188590767106048
1237654604248055917 644020007797286912
1237651754534306597 564192164179896320
1237651754534371555 564194088325244928
1237651753997435011 564194912958965760
1237653665796128805 564197661738035200
1237651754534371644 564203434174081024
1237653665259192704 564204533685708800
1237651753997566220 564130866406647808
1237653664722190426 564137463476414464
1237651753997369547 564152306883389440
1237651736280695048 564161927610132480
1237651753996976280 564162752243853312
1237653665795735655 564164126633388032
1237653665795604583 564169074435713024
1237651754533781643 563062961694861312
1237654599952433855 563065160718116864
1237653665795473647 563072307543697408
1237651754533847244 563072582421604352
1237653665795539099 563073132177418240
1237654599952498735 563073407055325184
1237654599952433486 563073681933232128
1237654599952498876 563075331200673792
1237651753997042149 563082203148347392
1237653665258602650 563085226805323776
1237651754534109240 563098695822764032
1237651754534174778 563101169723926528
1237651753997303832 563101719479740416
1237653665258995833 563111615084390400
1237653665258996378 563111889962297344
1237653664721600611 541730235649910784
1237651752923365433 302955342793304064
1237653665259257877 564206457831057408
1237653665259258141 564208656854312960
1237654599952826625 563116288008808448
1237653665259258181 564211130755475456
1237654599952629883 563094022898345984
1237654599952629801 563095122409973760
1237654599952629950 563096221921601536
1237653665795604493 563098146066950144
1237653665258536994 541728861260376064
1237651753996910823 541729960772003840
1237653665258537522 541733259306887168
1237651753996976444 541733809062701056
1237651754534043695 563109416061134848
1237654599952630035 644074983378675712
1237651754533781541 644085703617046528
1237654600490024974 5404386168492716032
1237654604247859271 5404397163608993792
1237648722828263523 3228098319452497920
1237648722828525771 3228109589446682624
1237648722828460072 3228114262371100672
1237653664185516216 3551105979250745344
1237651752923889832 3551106254128652288
1237651752923824270 3551106803884466176
1237653664185450660 3551107078762373120
1237653664185450585 3551107353640280064
1237651753460695061 3551107903396093952
1237653664185516176 3551108453151907840
1237651753460695155 3551109002907721728
1237651753460695180 3551109277785628672
1237653664185385153 3551109552663535616
1237651753460629789 3551109827541442560
1237653664185450726 3551110102419349504
1237651752923562168 3551110652175163392
1237648722828263614 3551112576320512000
1237648722828263521 3551113400954232832
1237651752923562004 3551113675832139776
1237651752923562102 3551113950710046720
1237651752923627524 3551114225587953664
1237651752923562182 3551114500465860608
1237651752923496700 3551114775343767552
1237651735743955123 3551115050221674496
1237651752923562085 3551115325099581440
1237651752923562215 3551115599977488384
1237651753460498603 3551116149733302272
1237651753460564237 3551116424611209216
1237653664185319725 3551116974367023104
1237653664185319700 3551117249244930048
1237653664185319625 3551117799000743936
1237651753460564169 3551118073878650880
1237651735744020503 3551118348756557824
1237653664185319594 3551118623634464768
1237651753460498505 3551118898512371712
1237653664185319596 3551119173390278656
1237651753460563988 3551119448268185600
1237651753460564188 3551119723146092544
1237651753460564031 3551119998023999488
1237651753460498658 3551120272901906432
1237651753460563982 3551120547779813376
1237653664722124949 3551120822657720320
1237653664722190617 3551121097535627264
1237653664185319761 3551121372413534208
1237651735743824042 3551125220704231424
1237648722828263602 3551126595093766144
1237651753460433044 3551127144849580032
1237651735743955174 3551127694605393920
1237651735743955069 3551127969483300864
1237651735743889553 3551128519239114752
1237651735743955091 3551128794117021696
1237651735743955067 3551129068994928640
1237651753460498586 3551129343872835584
1237651753460367413 3551129618750742528
1237651735743954955 3551129893628649472
1237651753460367504 3551130168506556416
1237651753460367510 3551130443384463360
1237651753460432971 3551130718262370304
1237653664185385122 5333399498042044416
1237651753460629814 5333402246821113856
1237653664722125001 5333417090228088832
1237648722828329092 5333422587786227712
1237651735743889527 3551130993140277248
1237651736280760488 3551131268018184192
1237653664185319635 3551131817773998080
1237651736280760490 3551132092651905024
1237648722828525722 3551088936820514816
1237648722828591288 3551089761454235648
1237651752923758647 3551090860965863424
1237648722828591131 3551091135843770368
1237651752923824210 3551091410721677312
1237651752923824281 3551091685599584256
1237651752923889817 3551091960477491200
1237648722828591290 3551092235355398144
1237651752923889815 3551092785111212032
1237651752923693161 3551099931936792576
1237651752923693176 3551100206814699520
1237651752923693215 3551101306326327296
1237651752923627527 3551102405837955072
1237648722828198076 3228076604097849344
1237651752923431131 3228078803121104896
1237651752923496627 3228081002144360448
1237651753460760627 5333390152193208320
1237648722828591156 3211232910409492480
1237651752923627536 3211210920176936960
1237648722828263481 3211212019688564736
1237648722828525649 3211221090659493888
1237648722828525653 3211223839438563328
1237651752923627608 3551102680715862016
1237651752923693155 3551102955593768960
1237651752923627655 3551103505349582848
1237648722828460172 3551104055105396736
1237651752923758767 3551104604861210624
1237651752923693205 3551104879739117568
1237653664185450675 3551105154617024512
1237651753460629728 3551105429494931456
1237653664722190619 3551230224064684032
1237653664722190638 3551230773820497920
1237653664722387029 3551238470401892352
1237653664722321566 3551240394547240960
1237653664722321605 3551241494058868736
1237654599952498806 3551191741157711872
1237654604247335102 3551192016035618816
1237654604247466134 3551198613105385472
1237654604247466172 3551198887983292416
1237654604247466168 3551199162861199360
1237654604247466078 3551199987494920192
1237654600489566391 3551200537250734080
1237654604247400535 3551200812128641024
1237654600489566341 3551201087006547968
1237654600489500861 3551201911640268800
1237654600489435213 3551202461396082688
1237654604247400611 3551202736273989632
1237654604247335017 3551187617989107712
1237654600489435290 3551187892867014656
1237654604247335099 3551189267256549376
1237654604247334928 3551189817012363264
1237654600489369662 3551190091890270208
1237654599952564263 3551190641646084096
1237654604247400496 3551191191401897984
1237654600489369688 3551191466279804928
1237654604247203946 3551176897750736896
1237654604247269534 3551178272140271616
1237654600489369712 3551178547018178560
1237654600489304220 3551178821896085504
1237654600489369616 3551179096773992448
1237654604247203934 3551179921407713280
1237654604247269518 3551180196285620224
1237654600489304230 3551180471163527168
1237653665259323552 3667128921238904832
1237651753997631793 3667136892698206208
1237653665259323589 3551248640884449280
1237653665259323561 3551248915762356224
1237651753997631699 3551249465518170112
1237651753997631684 3551251389663518720
1237653664722452636 3551252214297239552
1237654599953219703 3551254963076308992
1237654599953219626 3551256337465843712
1237654599953219628 3551256612343750656
1237653665796194518 3551258536489099264
1237654599953219720 5334651567243718656
1237654599953219615 5333659532542013440
1237654600490025195 3667151186349367296
1237654604247662824 3551210157977477120
1237654604247597374 3551211807244918784
1237654604247662638 3551212631878639616
1237654599952892029 3551214006268174336
1237654604247662697 3551214556023988224
1237654600489697530 3551214830901895168
