 400  0.000000000000E+00  3.788230419159E+00  1.894401788712E+00  9.993683695793E-01  6.319999811240E-04
 399  3.788230419159E+00  1.137576389313E+01  7.583150386810E+00  9.974753260612E-01  2.530999947339E-03
 398  1.137576389313E+01  1.898096656799E+01  1.517952823639E+01  9.949560761452E-01  5.069499835372E-03
 397  1.898096656799E+01  2.660372543335E+01  2.279351806641E+01  9.924405813217E-01  7.617000024766E-03
 396  2.660372543335E+01  3.424393081665E+01  3.042501068115E+01  9.899289011955E-01  1.017349958420E-02
 395  3.424393081665E+01  4.190146636963E+01  3.807389068604E+01  9.874212741852E-01  1.273899991065E-02
 394  4.190146636963E+01  4.957622146606E+01  4.574004364014E+01  9.849174618721E-01  1.531349960715E-02
 393  4.957622146606E+01  5.726808166504E+01  5.342336273193E+01  9.824176430702E-01  1.789700053632E-02
 392  5.726808166504E+01  6.497693634033E+01  6.112372970581E+01  9.799219369888E-01  2.048950083554E-02
 391  6.497693634033E+01  7.270562744141E+01  6.884251403809E+01  9.774296283722E-01  2.309150062501E-02
 390  7.270562744141E+01  8.044812011719E+01  7.657811737061E+01  9.749416112900E-01  2.570250071585E-02
 389  8.044812011719E+01  8.821021270752E+01  8.433042144775E+01  9.724575877190E-01  2.832249924541E-02
 388  8.821021270752E+01  9.599178314209E+01  9.210226440430E+01  9.699768424034E-01  3.095250017941E-02
 387  9.599178314209E+01  1.037897567749E+02  9.989204406738E+01  9.674997329712E-01  3.359200060368E-02
 386  1.037897567749E+02  1.116040115356E+02  1.076981658936E+02  9.650269746780E-01  3.624049946666E-02
 385  1.116040115356E+02  1.194373703003E+02  1.155219879150E+02  9.625579714775E-01  3.889850154519E-02
 384  1.194373703003E+02  1.272897186279E+02  1.233648529053E+02  9.600923061371E-01  4.156649857759E-02
 383  1.272897186279E+02  1.351579742432E+02  1.312251586914E+02  9.576305747032E-01  4.424399882555E-02
 382  1.351579742432E+02  1.430449676514E+02  1.391027984619E+02  9.551727771759E-01  4.693099856377E-02
 381  1.430449676514E+02  1.509505462646E+02  1.469990997314E+02  9.527184963226E-01  4.962800070643E-02
 380  1.509505462646E+02  1.588746032715E+02  1.549139404297E+02  9.502677321434E-01  5.233500152826E-02
 379  1.588746032715E+02  1.668170013428E+02  1.628471679688E+02  9.478205442429E-01  5.505200102925E-02
 378  1.668170013428E+02  1.747775878906E+02  1.707986755371E+02  9.453771114349E-01  5.777899920940E-02
 377  1.747775878906E+02  1.827562561035E+02  1.787683105469E+02  9.429371953011E-01  6.051599979401E-02
 376  1.827562561035E+02  1.907528686523E+02  1.867559661865E+02  9.405011534691E-01  6.326299905777E-02
 375  1.907528686523E+02  1.987672729492E+02  1.947614898682E+02  9.380686879158E-01  6.601999700069E-02
 374  1.987672729492E+02  2.068022613525E+02  2.027861938477E+02  9.356397390366E-01  6.878750026226E-02
 373  2.068022613525E+02  2.148547821045E+02  2.108299560547E+02  9.332140684128E-01  7.156550139189E-02
 372  2.148547821045E+02  2.229246978760E+02  2.188911743164E+02  9.307923913002E-01  7.435350120068E-02
 371  2.229246978760E+02  2.310147552490E+02  2.269711761475E+02  9.283740520477E-01  7.715199887753E-02
 370  2.310147552490E+02  2.391219329834E+02  2.350698089600E+02  9.259592890739E-01  7.996100187302E-02
 369  2.391219329834E+02  2.472489624023E+02  2.431869354248E+02  9.235482215881E-01  8.278050273657E-02
 368  2.472489624023E+02  2.553957061768E+02  2.513238372803E+02  9.211402535439E-01  8.561100065708E-02
 367  2.553957061768E+02  2.635591430664E+02  2.594789428711E+02  9.187359809875E-01  8.845199644566E-02
 366  2.635591430664E+02  2.717448730469E+02  2.676535339355E+02  9.163349866867E-01  9.130399674177E-02
 365  2.717448730469E+02  2.799470214844E+02  2.758474731445E+02  9.139372706413E-01  9.416700154543E-02
 364  2.799470214844E+02  2.881682739258E+02  2.840591735840E+02  9.115433692932E-01  9.704049676657E-02
 363  2.881682739258E+02  2.964084777832E+02  2.922899169922E+02  9.091528654099E-01  9.992499649525E-02
 362  2.964084777832E+02  3.046703491211E+02  3.005409851074E+02  9.067654609680E-01  1.028209999204E-01
 361  3.046703491211E+02  3.129480590820E+02  3.088107910156E+02  9.043815135956E-01  1.057280004025E-01
 360  3.129480590820E+02  3.212471008301E+02  3.170991821289E+02  9.020011425018E-01  1.086459979415E-01
 359  3.212471008301E+02  3.295645141602E+02  3.254060058594E+02  8.996244072914E-01  1.115749999881E-01
 358  3.295645141602E+02  3.379029235840E+02  3.337339172363E+02  8.972504734993E-01  1.145159974694E-01
 357  3.379029235840E+02  3.462593994141E+02  3.420827941895E+02  8.948794603348E-01  1.174689978361E-01
 356  3.462593994141E+02  3.546365661621E+02  3.504496459961E+02  8.925121426582E-01  1.204330027103E-01
 355  3.546365661621E+02  3.630314636230E+02  3.588370666504E+02  8.901477456093E-01  1.234090030193E-01
 354  3.630314636230E+02  3.714467163086E+02  3.672393493652E+02  8.877880573273E-01  1.263950020075E-01
 353  3.714467163086E+02  3.798849792480E+02  3.756675415039E+02  8.854297995567E-01  1.293949931860E-01
 352  3.798849792480E+02  3.883404846191E+02  3.841130371094E+02  8.830755352974E-01  1.324059963226E-01
 351  3.883404846191E+02  3.968158264160E+02  3.925812683105E+02  8.807235956192E-01  1.354299932718E-01
 350  3.968158264160E+02  4.053108825684E+02  4.010637207031E+02  8.783764839172E-01  1.384640038013E-01
 349  4.053108825684E+02  4.138254699707E+02  4.095713500977E+02  8.760310411453E-01  1.415120065212E-01
